epoch,step,train_acc,train_loss,val_acc,val_loss
0,385,,,0.7902594804763794,0.7507991790771484
0,385,0.7208502292633057,1.046233892440796,,
1,771,,,0.8597582578659058,0.5085731148719788
1,771,0.9193522334098816,0.26832419633865356,,
2,1157,,,0.8993956446647644,0.4100099503993988
2,1157,0.9456275105476379,0.18639011681079865,,
3,1543,,,0.8944187760353088,0.4353945553302765
3,1543,0.9548987746238708,0.1461970955133438,,
4,1929,,,0.9102382063865662,0.38772329688072205
4,1929,0.9620242714881897,0.12050597369670868,,
5,2315,,,0.9006398916244507,0.4173524081707001
5,2315,0.9662348031997681,0.10412591695785522,,
6,2701,,,0.893707811832428,0.48582082986831665
6,2701,0.9703238606452942,0.0908532664179802,,
7,3087,,,0.8969072103500366,0.45769965648651123
7,3087,0.9736437201499939,0.08073565363883972,,
8,3473,,,0.9034838080406189,0.4249972701072693
8,3473,0.9736437201499939,0.07896194607019424,,
9,3859,,,0.9020618796348572,0.45719093084335327
9,3859,0.9771255254745483,0.07324712723493576,,
10,4245,,,0.9059722423553467,0.4355500340461731
10,4245,0.9755465388298035,0.0731407180428505,,
11,4631,,,0.9187700152397156,0.37337225675582886
11,4631,0.9784615635871887,0.0657738447189331,,
12,5017,,,0.9209029674530029,0.39481666684150696
12,5017,0.9788259267807007,0.06289929151535034,,
13,5403,,,0.9118378758430481,0.4408164322376251
13,5403,0.983481764793396,0.05230626091361046,,
14,5789,,,0.9219694137573242,0.3944525420665741
14,5789,0.9830769300460815,0.05246293544769287,,
15,6175,,,0.9308567643165588,0.3499171733856201
15,6175,0.9826720356941223,0.04946574568748474,,
16,6561,,,0.9233914017677307,0.40938279032707214
16,6561,0.9831984043121338,0.04863861948251724,,
17,6947,,,0.9258798360824585,0.37308618426322937
17,6947,0.9827935099601746,0.05288068950176239,,
18,7333,,,0.9137930870056152,0.449329137802124
18,7333,0.9855870604515076,0.04276491701602936,,
19,7719,,,0.9306789636611938,0.3737095296382904
19,7719,0.9882186055183411,0.035661205649375916,,
20,8105,,,0.9137930870056152,0.43950146436691284
20,8105,0.986275315284729,0.03978937864303589,,
21,8491,,,0.9280127882957458,0.39341065287590027
21,8491,0.9871659874916077,0.03895357623696327,,
22,8877,,,0.9313899874687195,0.3789374828338623
22,8877,0.9874494075775146,0.03697381913661957,,
23,9263,,,0.921791672706604,0.41936391592025757
23,9263,0.9850202202796936,0.04177234694361687,,
24,9649,,,0.9225026369094849,0.42920324206352234
24,9649,0.9874898791313171,0.03931240364909172,,
25,10035,,,0.9303234815597534,0.3723002076148987
25,10035,0.9876113533973694,0.03570013493299484,,
