epoch,step,train_acc,train_loss,val_acc,val_loss
0,532,,,0.9182309508323669,0.27915284037590027
0,532,0.8916221261024475,0.28785622119903564,,
1,1065,,,0.9428327679634094,0.19898711144924164
1,1065,0.9310455918312073,0.21367639303207397,,
2,1598,,,0.9476677775382996,0.1888698935508728
2,1598,0.9412023425102234,0.18829184770584106,,
3,2131,,,0.9435437917709351,0.19134555757045746
3,2131,0.9451358914375305,0.17490527033805847,,
4,2664,,,0.9482366442680359,0.17485292255878448
4,2664,0.9473081827163696,0.16543930768966675,,
5,3197,,,0.9406996369361877,0.18031437695026398
5,3197,0.9502729773521423,0.1544896811246872,,
6,3730,,,0.94837886095047,0.16509677469730377
6,3730,0.9520636200904846,0.14931125938892365,,
7,4263,,,0.9449658989906311,0.16884031891822815
7,4263,0.9544413685798645,0.14227202534675598,,
8,4796,,,0.9401308298110962,0.1772778332233429
8,4796,0.9566136598587036,0.13666951656341553,,
9,5329,,,0.9520761966705322,0.16535308957099915
9,5329,0.9580226540565491,0.1310935765504837,,
10,5862,,,0.9510807991027832,0.15277869999408722
10,5862,0.9603123068809509,0.12484660744667053,,
11,6395,,,0.954351544380188,0.1506616771221161
11,6395,0.9606645703315735,0.12004180997610092,,
12,6928,,,0.9472411870956421,0.16289255023002625
12,6928,0.9624258875846863,0.11557593941688538,,
13,7461,,,0.9503697156906128,0.15334777534008026
13,7461,0.9633945822715759,0.11029259860515594,,
14,7994,,,0.9509385824203491,0.14672984182834625
14,7994,0.9642165303230286,0.10633081942796707,,
15,8527,,,0.9570534825325012,0.15479974448680878
15,8527,0.9667410254478455,0.10033811628818512,,
16,9060,,,0.9577645063400269,0.16472722589969635
16,9060,0.9672987461090088,0.09560048580169678,,
17,9593,,,0.9522184133529663,0.14465323090553284
17,9593,0.9686784744262695,0.09329231083393097,,
18,10126,,,0.9559158086776733,0.14089280366897583
18,10126,0.9698820114135742,0.08587821573019028,,
19,10659,,,0.9509385824203491,0.15125007927417755
19,10659,0.971467137336731,0.08248282968997955,,
20,11192,,,0.9562002420425415,0.15313997864723206
20,11192,0.974696159362793,0.07474740594625473,,
21,11725,,,0.9544937610626221,0.1464552879333496
21,11725,0.9752832651138306,0.07189830392599106,,
22,12258,,,0.9581910967826843,0.15750405192375183
22,12258,0.9761052131652832,0.06807450950145721,,
23,12791,,,0.958048939704895,0.15520595014095306
23,12791,0.9773381352424622,0.06412938982248306,,
