epoch,step,train_acc,train_loss,val_acc,val_loss
0,428,,,0.6989037990570068,1.0332801342010498
0,428,0.4360376000404358,2.053917407989502,,
1,857,,,0.8937411308288574,0.3745623528957367
1,857,0.7937896251678467,0.6776041984558105,,
2,1286,,,0.9268034100532532,0.2571503818035126
2,1286,0.8921568393707275,0.3614468574523926,,
3,1715,,,0.9241513609886169,0.2555866241455078
3,1715,0.9185071587562561,0.26851826906204224,,
4,2144,,,0.9413012862205505,0.21679876744747162
4,2144,0.9312996864318848,0.2243543565273285,,
5,2573,,,0.9443069100379944,0.2049860805273056
5,2573,0.9420511722564697,0.18580688536167145,,
6,3002,,,0.9476661682128906,0.20582740008831024
6,3002,0.9501785635948181,0.16210730373859406,,
7,3431,,,0.9503182172775269,0.189998596906662
7,3431,0.9571762084960938,0.1377241313457489,,
8,3860,,,0.9443069100379944,0.2055741399526596
8,3860,0.95856112241745,0.12726615369319916,,
9,4289,,,0.948727011680603,0.19585020840168
9,4289,0.9655587077140808,0.10760664939880371,,
10,4718,,,0.9478430151939392,0.2039208710193634
10,4718,0.9641008973121643,0.10848233848810196,,
11,5147,,,0.9513790607452393,0.2083302140235901
11,5147,0.9693126082420349,0.09304884821176529,,
12,5576,,,0.9533239006996155,0.17941896617412567
12,5576,0.971973180770874,0.08446378260850906,,
13,6005,,,0.9517326951026917,0.19992199540138245
13,6005,0.9747430682182312,0.07543669641017914,,
14,6434,,,0.9542078971862793,0.19208990037441254
14,6434,0.9764195680618286,0.07083228975534439,,
15,6863,,,0.9566831588745117,0.18442784249782562
15,6863,0.978424072265625,0.06529194116592407,,
16,7292,,,0.9589816331863403,0.1896287202835083
16,7292,0.979809045791626,0.059600476175546646,,
17,7721,,,0.9616336822509766,0.17424435913562775
17,7721,0.9796267747879028,0.059729550033807755,,
18,8150,,,0.9527934789657593,0.20871786773204803
18,8150,0.9814855456352234,0.054075904190540314,,
19,8579,,,0.9565063714981079,0.2019842565059662
19,8579,0.9799547791481018,0.058157335966825485,,
20,9008,,,0.9591584205627441,0.1790141761302948
20,9008,0.9835629463195801,0.04810525104403496,,
21,9437,,,0.9508486390113831,0.2151494026184082
21,9437,0.9818135499954224,0.05300339311361313,,
22,9866,,,0.9586279988288879,0.1929159015417099
22,9866,0.9840367436408997,0.04850700497627258,,
